Instrument,Header,InstrumentFrequency,InstrumentTransducerLocation,InstrumentTransducerManufacturer,InstrumentTransducerModel,InstrumentTransducerSerial,InstrumentTransducerBeamType,InstrumentTransducerDepth,InstrumentTransducerOrientation,InstrumentTransducerPSI,InstrumentTransducerBeamAngleMajor,InstrumentTransducerBeamAngleMinor,InstrumentTransceiverManufacturer,InstrumentTransceiverModel,InstrumentTransceiverSerial,InstrumentTransceiverFirmware,InstrumentComments,InstrumentID
Instrument,Record,38,AB,Simrad,ES38-7,,S2,,elevation 0° azimuth 0° rotation 0°,,,,Simrad,WBT,,,,I1
Calibration,Header,CalibrationDate,CalibrationAcquisitionMethod,CalibrationProcessingMethod,CalibrationAccuracyEstimate,CalibrationReport,CalibrationComments,CalibrationID
Calibration,Record,2020-10-03,SS,EK80,0.06,,,C1
DataAcquisition,Header,DataAcquisitionSoftwareName,DataAcquisitionSoftwareVersion,DataAcquisitionStoredDataFormat,DataAcquisitionPingDutyCycle,DataAcquisitionComments,DataAcquisitionID
DataAcquisition,Record,EK80,,RAW,continuous pinging at 1 per second,,DA1
DataProcessing,Header,DataProcessingSoftwareName,DataProcessingSoftwareVersion,DataProcessingTriwaveCorrection,DataProcessingChannelID,DataProcessingBandwidth,DataProcessingFrequency,DataProcessingTransceiverPower,DataProcessingTransmitPulseLength,DataProcessingOnAxisGain,DataProcessingOnAxisGainUnit,DataProcessingSaCorrection,DataProcessingAbsorption,DataProcessingAbsorptionDescription,DataProcessingSoundSpeed,DataProcessingSoundSpeedDescription,DataProcessingTransducerPSI,DataProcessingComments,DataProcessingID
DataProcessing,Record,LSSS,2.12.0,NA,2,,38,2000,1.024,22,dB,,,estimated by EK80,,,3,,DP1
EchoType,Header,EchoTypeStratum,EchoTypeComments,EchoTypeSpeciesCode,EchoTypeSpeciesCategory,EchoTypeID
Cruise,Header,CruiseSurvey,CruiseCountry,CruisePlatform,CruiseStartDate,CruiseEndDate,CruiseOrganisation,CruiseLocalID
Cruise,Record,BIAS,SE,77SE,2022-10-02,2022-10-17,189,BIAS_2022_SWE
Data,Header,LogDistance,LogTime,LogLatitude,LogLongitude,LogOrigin,LogLatitude2,LogLongitude2,LogOrigin2,LogValidity,LogBottomDepth,SampleChannelDepthUpper,SampleChannelDepthLower,SamplePingAxisInterval,SamplePingAxisIntervalType,SamplePingAxisIntervalUnit,SampleSvThreshold,InstrumentID,CalibrationID,DataAcquisitionID,DataProcessingID,SamplePingAxisIntervalOrigin,DataSaCategory,EchoTypeID,DataType,DataUnit,DataValue,CruiseLocalID
Data,Record,1,2022-10-03T21:16,57.55998,16.89479,start,,,,V,,10,54,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,374.2,BIAS_2022_SWE
Data,Record,2,2022-10-03T21:23,57.57426,16.91074,start,,,,V,,10,61,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,244.5,BIAS_2022_SWE
Data,Record,3,2022-10-03T21:30,57.58852,16.92678,start,,,,V,,10,59,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,278.2,BIAS_2022_SWE
Data,Record,4,2022-10-03T21:36,57.60271,16.943,start,,,,V,,10,58,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,130.1,BIAS_2022_SWE
Data,Record,5,2022-10-03T21:43,57.61684,16.95943,start,,,,V,,10,59,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,234.5,BIAS_2022_SWE
Data,Record,6,2022-10-03T21:50,57.63093,16.97596,start,,,,V,,10,57,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,356.2,BIAS_2022_SWE
Data,Record,8,2022-10-03T22:03,57.6501,17.01977,start,,,,V,,10,64,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,248.2,BIAS_2022_SWE
Data,Record,9,2022-10-03T22:10,57.64953,17.05081,start,,,,V,,10,71,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,372.5,BIAS_2022_SWE
Data,Record,10,2022-10-03T22:16,57.64951,17.08179,start,,,,V,,10,79,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,407.7,BIAS_2022_SWE
Data,Record,11,2022-10-03T22:23,57.65003,17.11285,start,,,,V,,10,78,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,223.2,BIAS_2022_SWE
Data,Record,17,2022-10-04T01:01,57.67876,17.20507,start,,,,V,,10,107,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,457,BIAS_2022_SWE
Data,Record,18,2022-10-04T01:08,57.67253,17.23384,start,,,,V,,10,117,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,476.2,BIAS_2022_SWE
Data,Record,19,2022-10-04T01:15,57.6671,17.26324,start,,,,V,,10,129,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,480.4,BIAS_2022_SWE
Data,Record,20,2022-10-04T01:22,57.66176,17.29265,start,,,,V,,10,137,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,514.2,BIAS_2022_SWE
Data,Record,21,2022-10-04T01:29,57.65667,17.32216,start,,,,V,,10,156,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,548.5,BIAS_2022_SWE
Data,Record,22,2022-10-04T01:36,57.65155,17.35167,start,,,,V,,10,156,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,587.8,BIAS_2022_SWE
Data,Record,23,2022-10-04T01:43,57.63619,17.35774,start,,,,V,,10,148,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,377.8,BIAS_2022_SWE
Data,Record,24,2022-10-04T01:49,57.61954,17.3579,start,,,,V,,10,142,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,512,BIAS_2022_SWE
Data,Record,25,2022-10-04T01:56,57.60293,17.35932,start,,,,V,,10,140,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,329.6,BIAS_2022_SWE
Data,Record,26,2022-10-04T02:02,57.58627,17.36067,start,,,,V,,10,129,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,258.2,BIAS_2022_SWE
Data,Record,27,2022-10-04T02:09,57.56969,17.36198,start,,,,V,,10,105,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,153.8,BIAS_2022_SWE
Data,Record,28,2022-10-04T02:15,57.55305,17.36279,start,,,,V,,10,103,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,152.2,BIAS_2022_SWE
Data,Record,29,2022-10-04T02:22,57.5364,17.36317,start,,,,V,,10,101,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,279.8,BIAS_2022_SWE
Data,Record,30,2022-10-04T02:28,57.51978,17.36332,start,,,,V,,10,99,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,305.6,BIAS_2022_SWE
Data,Record,31,2022-10-04T02:34,57.50312,17.36316,start,,,,V,,10,96,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,407.9,BIAS_2022_SWE
Data,Record,32,2022-10-04T02:40,57.48648,17.36279,start,,,,V,,10,80,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,268.6,BIAS_2022_SWE
Data,Record,33,2022-10-04T02:47,57.46983,17.36218,start,,,,V,,10,62,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,307.1,BIAS_2022_SWE
Data,Record,34,2022-10-04T02:53,57.45321,17.3616,start,,,,V,,10,60,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,398.7,BIAS_2022_SWE
Data,Record,35,2022-10-04T02:59,57.43655,17.36082,start,,,,V,,10,60,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,387.6,BIAS_2022_SWE
Data,Record,36,2022-10-04T03:05,57.41991,17.35984,start,,,,V,,10,58,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,411.5,BIAS_2022_SWE
Data,Record,37,2022-10-04T03:12,57.4033,17.35907,start,,,,V,,10,52,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,458.3,BIAS_2022_SWE
Data,Record,38,2022-10-04T03:18,57.38668,17.35833,start,,,,V,,10,54,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,422.7,BIAS_2022_SWE
Data,Record,39,2022-10-04T03:24,57.37004,17.35785,start,,,,V,,10,57,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,599.7,BIAS_2022_SWE
Data,Record,40,2022-10-04T03:30,57.35339,17.35818,start,,,,V,,10,57,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,461.6,BIAS_2022_SWE
Data,Record,41,2022-10-04T03:37,57.33676,17.35803,start,,,,V,,10,56,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,512.9,BIAS_2022_SWE
Data,Record,42,2022-10-04T03:43,57.32009,17.358,start,,,,V,,10,59,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,313.6,BIAS_2022_SWE
Data,Record,43,2022-10-04T03:49,57.30345,17.35785,start,,,,V,,10,60,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,323.1,BIAS_2022_SWE
Data,Record,44,2022-10-04T03:55,57.28684,17.35744,start,,,,V,,10,64,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,356.2,BIAS_2022_SWE
Data,Record,53,2022-10-04T06:34,57.23825,17.34703,start,,,,V,,10,66,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,564.2,BIAS_2022_SWE
Data,Record,54,2022-10-04T06:41,57.22168,17.34963,start,,,,V,,10,68,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,110.8,BIAS_2022_SWE
Data,Record,55,2022-10-04T06:47,57.20523,17.35375,start,,,,V,,10,69,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,137,BIAS_2022_SWE
Data,Record,56,2022-10-04T06:54,57.1886,17.35543,start,,,,V,,10,74,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,137.9,BIAS_2022_SWE
Data,Record,57,2022-10-04T07:00,57.17197,17.35679,start,,,,V,,10,75,1,distance,nmi,-60,I1,C1,DA1,DP1,,MIX,,C,m2nmi-2,257.6,BIAS_2022_SWE
