"Data","Header","LogDistance","LogTime","LogLatitude","LogLongitude","LogOrigin","LogLatitude2","LogLongitude2","LogOrigin2","LogValidity","LogBottomDepth","SampleChannelDepthUpper","SampleChannelDepthLower","SamplePingAxisInterval","SamplePingAxisIntervalType","SamplePingAxisIntervalUnit","SampleSvThreshold","InstrumentID","CalibrationID","DataAcquisitionID","DataProcessingID","SamplePingAxisIntervalOrigin","DataSaCategory","EchoTypeID","DataType","DataUnit","DataValue","CruiseLocalID","Haul","HerringEchoIntegral","StickleEchoIntegral","HerringCrossSection","StickleCrossSection","HerringDensity","StickleDensity"
"Data","Record",1,"2022-10-03T21:16",57.55998,16.89479,"start",NA,NA,NA,"V",NA,10,54,1,"distance","nmi",-60,"I1","C1","DA1","DP1",NA,"MIX",NA,"C","m2nmi-2",374.2,"BIAS_2022_SWE",11,0.645300259583776,0.0134308501654837,0.00630002971153846,0.0008818025,38328.6060848246,5699.48954774341
"Data","Record",2,"2022-10-03T21:23",57.57426,16.91074,"start",NA,NA,NA,"V",NA,10,61,1,"distance","nmi",-60,"I1","C1","DA1","DP1",NA,"MIX",NA,"C","m2nmi-2",244.5,"BIAS_2022_SWE",11,0.645300259583776,0.0134308501654837,0.00630002971153846,0.0008818025,25043.677679689,3724.01174351487
"Data","Record",3,"2022-10-03T21:30",57.58852,16.92678,"start",NA,NA,NA,"V",NA,10,59,1,"distance","nmi",-60,"I1","C1","DA1","DP1",NA,"MIX",NA,"C","m2nmi-2",278.2,"BIAS_2022_SWE",11,0.645300259583776,0.0134308501654837,0.00630002971153846,0.0008818025,28495.5056461737,4237.30088771303
"Data","Record",4,"2022-10-03T21:36",57.60271,16.943,"start",NA,NA,NA,"V",NA,10,58,1,"distance","nmi",-60,"I1","C1","DA1","DP1",NA,"MIX",NA,"C","m2nmi-2",130.1,"BIAS_2022_SWE",42,0.630069480608059,0.0163467522139928,0.0072421009375,0.001095103375,11318.8203443358,1942.01982350795
"Data","Record",5,"2022-10-03T21:43",57.61684,16.95943,"start",NA,NA,NA,"V",NA,10,59,1,"distance","nmi",-60,"I1","C1","DA1","DP1",NA,"MIX",NA,"C","m2nmi-2",234.5,"BIAS_2022_SWE",42,0.630069480608059,0.0163467522139928,0.0072421009375,0.001095103375,20401.716915809,3500.41236443209
"Data","Record",6,"2022-10-03T21:50",57.63093,16.97596,"start",NA,NA,NA,"V",NA,10,57,1,"distance","nmi",-60,"I1","C1","DA1","DP1",NA,"MIX",NA,"C","m2nmi-2",356.2,"BIAS_2022_SWE",2,0.236196527226371,0.0360254914138849,0.004891620625,0.0008818025,17199.4538104707,14552.328941714
"Data","Record",8,"2022-10-03T22:03",57.6501,17.01977,"start",NA,NA,NA,"V",NA,10,64,1,"distance","nmi",-60,"I1","C1","DA1","DP1",NA,"MIX",NA,"C","m2nmi-2",248.2,"BIAS_2022_SWE",2,0.236196527226371,0.0360254914138849,0.004891620625,0.0008818025,11984.5716893847,10140.0562698861
"Data","Record",9,"2022-10-03T22:10",57.64953,17.05081,"start",NA,NA,NA,"V",NA,10,71,1,"distance","nmi",-60,"I1","C1","DA1","DP1",NA,"MIX",NA,"C","m2nmi-2",372.5,"BIAS_2022_SWE",2,0.236196527226371,0.0360254914138849,0.004891620625,0.0008818025,17986.5147231901,15218.2552801473
"Data","Record",10,"2022-10-03T22:16",57.64951,17.08179,"start",NA,NA,NA,"V",NA,10,79,1,"distance","nmi",-60,"I1","C1","DA1","DP1",NA,"MIX",NA,"C","m2nmi-2",407.7,"BIAS_2022_SWE",1,0.674641372651748,0.0204503104922765,0.00447306234375,0.000744765625,61490.6000615962,11194.9199960741
"Data","Record",11,"2022-10-03T22:23",57.65003,17.11285,"start",NA,NA,NA,"V",NA,10,78,1,"distance","nmi",-60,"I1","C1","DA1","DP1",NA,"MIX",NA,"C","m2nmi-2",223.2,"BIAS_2022_SWE",1,0.674641372651748,0.0204503104922765,0.00447306234375,0.000744765625,33663.7280690416,6128.78622301629
"Data","Record",17,"2022-10-04T01:01",57.67876,17.20507,"start",NA,NA,NA,"V",NA,10,107,1,"distance","nmi",-60,"I1","C1","DA1","DP1",NA,"MIX",NA,"C","m2nmi-2",457,"BIAS_2022_SWE",1,0.674641372651748,0.0204503104922765,0.00447306234375,0.000744765625,68926.1815750539,12548.6348741866
"Data","Record",18,"2022-10-04T01:08",57.67253,17.23384,"start",NA,NA,NA,"V",NA,10,117,1,"distance","nmi",-60,"I1","C1","DA1","DP1",NA,"MIX",NA,"C","m2nmi-2",476.2,"BIAS_2022_SWE",41,0.949525216460345,0.0149340369760189,0.00694717375,0.0009384046875,65086.0226546682,7578.38116402225
"Data","Record",19,"2022-10-04T01:15",57.6671,17.26324,"start",NA,NA,NA,"V",NA,10,129,1,"distance","nmi",-60,"I1","C1","DA1","DP1",NA,"MIX",NA,"C","m2nmi-2",480.4,"BIAS_2022_SWE",41,0.949525216460345,0.0149340369760189,0.00694717375,0.0009384046875,65660.0698935376,7645.22114908923
"Data","Record",20,"2022-10-04T01:22",57.66176,17.29265,"start",NA,NA,NA,"V",NA,10,137,1,"distance","nmi",-60,"I1","C1","DA1","DP1",NA,"MIX",NA,"C","m2nmi-2",514.2,"BIAS_2022_SWE",41,0.949525216460345,0.0149340369760189,0.00694717375,0.0009384046875,70279.7833872961,8183.12388605679
"Data","Record",21,"2022-10-04T01:29",57.65667,17.32216,"start",NA,NA,NA,"V",NA,10,156,1,"distance","nmi",-60,"I1","C1","DA1","DP1",NA,"MIX",NA,"C","m2nmi-2",548.5,"BIAS_2022_SWE",41,0.949525216460345,0.0149340369760189,0.00694717375,0.0009384046875,74967.8358380628,8728.98376410375
