id,left,top,right,bottom,OBJECTID_1,OBJECTID,Major_FA,SubArea,Division,SubDivisio,Unit,Area_Full,Area_27,Area_km2,x,y,Latitude,Longitude
"150",1813647.37175105,7674490.6683848,1833647.37175105,7694490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1813647.372,7674490.668,56.579,16.292
"181",1833647.37175105,7814490.6683848,1853647.37175105,7834490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1833647.372,7814490.668,57.265,16.472
"182",1833647.37175105,7794490.6683848,1853647.37175105,7814490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1833647.372,7794490.668,57.168,16.472
"185",1833647.37175105,7734490.6683848,1853647.37175105,7754490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1833647.372,7734490.668,56.874,16.472
"187",1833647.37175105,7694490.6683848,1853647.37175105,7714490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1833647.372,7694490.668,56.678,16.472
"213",1853647.37175105,7934490.6683848,1873647.37175105,7954490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1853647.372,7934490.668,57.843,16.652
"216",1853647.37175105,7874490.6683848,1873647.37175105,7894490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1853647.372,7874490.668,57.555,16.652
"218",1853647.37175105,7834490.6683848,1873647.37175105,7854490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1853647.372,7834490.668,57.362,16.652
"219",1853647.37175105,7814490.6683848,1873647.37175105,7834490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1853647.372,7814490.668,57.265,16.652
"220",1853647.37175105,7794490.6683848,1873647.37175105,7814490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1853647.372,7794490.668,57.168,16.652
"221",1853647.37175105,7774490.6683848,1873647.37175105,7794490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1853647.372,7774490.668,57.070,16.652
"222",1853647.37175105,7754490.6683848,1873647.37175105,7774490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1853647.372,7754490.668,56.972,16.652
"243",1873647.37175105,8094490.6683848,1893647.37175105,8114490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,8094490.668,58.600,16.831
"246",1873647.37175105,8034490.6683848,1893647.37175105,8054490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,8034490.668,58.318,16.831
"247",1873647.37175105,8014490.6683848,1893647.37175105,8034490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,8014490.668,58.224,16.831
"248",1873647.37175105,7994490.6683848,1893647.37175105,8014490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,7994490.668,58.129,16.831
"249",1873647.37175105,7974490.6683848,1893647.37175105,7994490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,7974490.668,58.034,16.831
"250",1873647.37175105,7954490.6683848,1893647.37175105,7974490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,7954490.668,57.939,16.831
"251",1873647.37175105,7934490.6683848,1893647.37175105,7954490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,7934490.668,57.843,16.831
"252",1873647.37175105,7914490.6683848,1893647.37175105,7934490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,7914490.668,57.748,16.831
"253",1873647.37175105,7894490.6683848,1893647.37175105,7914490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,7894490.668,57.652,16.831
"254",1873647.37175105,7874490.6683848,1893647.37175105,7894490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,7874490.668,57.555,16.831
"255",1873647.37175105,7854490.6683848,1893647.37175105,7874490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,7854490.668,57.459,16.831
"256",1873647.37175105,7834490.6683848,1893647.37175105,7854490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,7834490.668,57.362,16.831
"257",1873647.37175105,7814490.6683848,1893647.37175105,7834490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,7814490.668,57.265,16.831
"258",1873647.37175105,7794490.6683848,1893647.37175105,7814490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,7794490.668,57.168,16.831
"259",1873647.37175105,7774490.6683848,1893647.37175105,7794490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,7774490.668,57.070,16.831
"262",1873647.37175105,7714490.6683848,1893647.37175105,7734490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,7714490.668,56.776,16.831
"263",1873647.37175105,7694490.6683848,1893647.37175105,7714490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,7694490.668,56.678,16.831
"264",1873647.37175105,7674490.6683848,1893647.37175105,7694490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1873647.372,7674490.668,56.579,16.831
"281",1893647.37175105,8094490.6683848,1913647.37175105,8114490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,8094490.668,58.600,17.011
"282",1893647.37175105,8074490.6683848,1913647.37175105,8094490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,8074490.668,58.507,17.011
"283",1893647.37175105,8054490.6683848,1913647.37175105,8074490.6683848,"1","1","27","3",d,"27",,27.3.d.27,3.d.27,30398.14183570000,1893647.372,8054490.668,58.413,17.011
