id,left,top,right,bottom,Area,OBJECTID,Ecoregion,Shape_Leng,Shape_Le_1,Shape_Area,fid,cat,x,y
"38",14.46909,55.66423,14.56909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.519,55.614
"39",14.46909,55.56423,14.56909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.519,55.514
"78",14.56909,55.86423,14.66909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.619,55.814
"79",14.56909,55.76423,14.66909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.619,55.714
"80",14.56909,55.66423,14.66909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.619,55.614
"81",14.56909,55.56423,14.66909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.619,55.514
"119",14.66909,55.96423,14.76909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.719,55.914
"120",14.66909,55.86423,14.76909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.719,55.814
"121",14.66909,55.76423,14.76909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.719,55.714
"122",14.66909,55.66423,14.76909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.719,55.614
"123",14.66909,55.56423,14.76909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.719,55.514
"124",14.66909,55.46423,14.76909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.719,55.414
"160",14.76909,56.06423,14.86909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.819,56.014
"161",14.76909,55.96423,14.86909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.819,55.914
"162",14.76909,55.86423,14.86909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.819,55.814
"163",14.76909,55.76423,14.86909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.819,55.714
"164",14.76909,55.66423,14.86909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.819,55.614
"165",14.76909,55.56423,14.86909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.819,55.514
"166",14.76909,55.46423,14.86909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.819,55.414
"202",14.86909,56.06423,14.96909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.919,56.014
"203",14.86909,55.96423,14.96909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.919,55.914
"204",14.86909,55.86423,14.96909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.919,55.814
"205",14.86909,55.76423,14.96909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.919,55.714
"206",14.86909,55.66423,14.96909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.919,55.614
"207",14.86909,55.56423,14.96909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.919,55.514
"208",14.86909,55.46423,14.96909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",14.919,55.414
"243",14.96909,56.16423,15.06909,56.06423,69265472.634,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.019,56.114
"244",14.96909,56.06423,15.06909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.019,56.014
"245",14.96909,55.96423,15.06909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.019,55.914
"246",14.96909,55.86423,15.06909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.019,55.814
"247",14.96909,55.76423,15.06909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.019,55.714
"248",14.96909,55.66423,15.06909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.019,55.614
"249",14.96909,55.56423,15.06909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.019,55.514
"250",14.96909,55.46423,15.06909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.019,55.414
"251",14.96909,55.36423,15.06909,55.26423,70686328.244,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.019,55.314
"285",15.06909,56.16423,15.16909,56.06423,69265472.634,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,56.114
"286",15.06909,56.06423,15.16909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,56.014
"287",15.06909,55.96423,15.16909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,55.914
"288",15.06909,55.86423,15.16909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,55.814
"289",15.06909,55.76423,15.16909,55.66423,69977684.729,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,55.714
"290",15.06909,55.66423,15.16909,55.56423,70155181.483,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,55.614
"291",15.06909,55.56423,15.16909,55.46423,70332454.672,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,55.514
"292",15.06909,55.46423,15.16909,55.36423,70509503.767,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,55.414
"293",15.06909,55.36423,15.16909,55.26423,70686328.244,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.119,55.314
"327",15.16909,56.16423,15.26909,56.06423,69265472.634,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.219,56.114
"328",15.16909,56.06423,15.26909,55.96423,69443858.359,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.219,56.014
"329",15.16909,55.96423,15.26909,55.86423,69622022.638,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.219,55.914
"330",15.16909,55.86423,15.26909,55.76423,69799964.938,"10",Baltic Sea,63.69963800360,844.92033807500,62.45598147650,"1","1",15.219,55.814
