"Species","d"
"Clupea harengus",9.533e-07
"Sprattus sprattus",9.533e-07
"Gasterosteus aculeatus",9.533e-07
"Pungitius pungitius",2.235e-06
"Cyclopterus lumpus",2.235e-06
"Zoarces viviparus",2.235e-06
"Salmo salar",9.533e-07
"Scophthalmus maximus",2.235e-06
"Platichthys flesus",2.235e-06
"Gadus morhua",2.235e-06
"Clupeidae",9.533e-07
"Belone belone",2.235e-06
"Syngnathidae",2.235e-06
"Myoxocephalus scorpius",2.235e-06
"Syngnathus acus",2.235e-06
"Enchelyopus cimbrius",2.235e-06
"Entelurus aequoreus",2.235e-06
"Liparidae",2.235e-06
"Pleuronectes platessa",2.235e-06
"Engraulis encrasicolus",2.235e-06
"Merlangius merlangus",2.235e-06
"Scomber scombrus",4.066e-08
