tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated
228458,100684,Cerianthidae,365,SpecWoRMS,5/20/20,12/22/21,FALSE
249426,100782,Cerianthus,365,SpecWoRMS,9/28/21,12/22/21,FALSE
228377,100930,Actinauge richardi,365,SpecWoRMS,5/20/20,12/22/21,FALSE
229541,101,Gastropoda,365,SpecWoRMS,11/5/20,12/22/21,FALSE
228296,101013,Pachycerianthus multiplicatus,365,SpecWoRMS,5/20/20,12/22/21,FALSE
168753,101167,Lampetra,365,SpecWoRMS,11/4/16,12/22/21,FALSE
138917,101170,Myxine glutinosa,365,SpecWoRMS,11/27/13,12/22/21,FALSE
137943,101172,Lampetra fluviatilis,365,SpecWoRMS,11/26/13,12/22/21,FALSE
138921,101174,Petromyzon marinus,365,SpecWoRMS,11/28/13,9/21/22,FALSE
234015,101380,Eusiridae,365,SpecWoRMS,6/15/21,12/22/21,FALSE
252702,101417,Hyperiidae,365,SpecWoRMS,9/6/22,9/6/22,FALSE
234016,101519,Eusirus,365,SpecWoRMS,6/15/21,12/22/21,FALSE
228940,1015724,Leuciscus aspius,365,SpecWoRMS,7/15/20,12/22/21,FALSE
234017,101798,Hyperoche,365,SpecWoRMS,6/15/21,12/22/21,FALSE
234018,101800,Themisto,365,SpecWoRMS,6/15/21,12/22/21,FALSE
252703,101804,Phronima,365,SpecWoRMS,9/6/22,9/6/22,FALSE
202600,1019159,Rajella lintea,365,SpecWoRMS,4/15/20,12/22/21,FALSE
137342,10193,Elasmobranchii,365,SpecWoRMS,5/2/13,12/22/21,FALSE
228800,10194,Actinopterygii,365,SpecWoRMS,7/9/20,9/21/22,FALSE
229315,10211,Squaliformes,365,SpecWoRMS,9/15/20,9/21/22,FALSE
229316,10216,Rajiformes,365,SpecWoRMS,9/15/20,12/22/21,FALSE
234019,10295,Anguilliformes,365,SpecWoRMS,6/15/21,9/21/22,FALSE
234020,10306,Stomiiformes,365,SpecWoRMS,6/15/21,12/22/21,FALSE
168792,10309,Myctophiformes,365,SpecWoRMS,11/4/16,12/22/21,FALSE
253602,10313,Gadiformes,365,SpecWoRMS,9/23/22,9/23/22,FALSE
252704,103251,Hyperia galba,365,SpecWoRMS,9/6/22,9/21/22,FALSE
234021,103256,Hyperoche medusarum,365,SpecWoRMS,6/15/21,12/22/21,FALSE
234022,103259,Themisto abyssorum,365,SpecWoRMS,6/15/21,12/22/21,FALSE
228857,10329,Scorpaeniformes,365,SpecWoRMS,7/13/20,12/22/21,FALSE
228297,103301,Antipathidae,365,SpecWoRMS,5/20/20,12/22/21,FALSE
228378,103302,Antipathes,365,SpecWoRMS,5/20/20,12/22/21,FALSE
228459,103304,Bathypathes,365,SpecWoRMS,5/20/20,12/22/21,FALSE
228460,103305,Leiopathes,365,SpecWoRMS,5/20/20,12/22/21,FALSE
228461,103306,Parantipathes,365,SpecWoRMS,5/20/20,12/22/21,FALSE
228462,103308,Stichopathes,365,SpecWoRMS,5/20/20,12/22/21,FALSE
228379,103309,Antipathes dichotoma,365,SpecWoRMS,5/20/20,9/21/22,FALSE
229317,10331,Pleuronectiformes,365,SpecWoRMS,9/15/20,12/22/21,FALSE
228298,103310,Antipathes erinaceus,365,SpecWoRMS,5/20/20,12/22/21,FALSE
228463,103323,Bathypathes patula,365,SpecWoRMS,5/20/20,12/22/21,FALSE
228380,103325,Leiopathes expansa,365,SpecWoRMS,5/20/20,12/22/21,FALSE
228211,103331,Stichopathes dissimilis,365,SpecWoRMS,5/20/20,12/22/21,FALSE
228212,103333,Stichopathes flagellum,365,SpecWoRMS,5/20/20,12/22/21,FALSE
228299,103335,Stichopathes richardi,365,SpecWoRMS,5/20/20,12/22/21,FALSE
249406,103483,Ascidia,365,SpecWoRMS,9/27/21,12/22/21,FALSE
249435,104,Scaphopoda,365,SpecWoRMS,9/28/21,12/22/21,FALSE
234023,104152,Calanus,365,SpecWoRMS,6/15/21,12/22/21,FALSE
234024,104174,Euchaeta,365,SpecWoRMS,6/15/21,12/22/21,FALSE
168756,1042830,Chelon ramada,365,SpecWoRMS,11/4/16,12/22/21,FALSE
168755,1044127,Chelon auratus,365,SpecWoRMS,11/4/16,12/22/21,FALSE
254134,104906,Branchiostoma lanceolatum,365,SpecWoRMS,2/14/23,2/14/23,FALSE
229313,105,Bivalvia,365,SpecWoRMS,9/15/20,12/22/21,FALSE
234025,105410,Sagitta,365,SpecWoRMS,6/15/21,12/22/21,FALSE
234026,1056501,Gardinerosergia splendens,365,SpecWoRMS,6/15/21,12/22/21,FALSE
234027,1056510,Phorcosergia grandis,365,SpecWoRMS,6/15/21,12/22/21,FALSE
234028,1056514,Phorcosergia potens,365,SpecWoRMS,6/15/21,12/22/21,FALSE
234029,1056517,Robustosergia robusta,365,SpecWoRMS,6/15/21,9/21/22,FALSE
234030,1056519,Robustosergia regalis,365,SpecWoRMS,6/15/21,12/22/21,FALSE
202669,105693,Scyliorhinidae,365,SpecWoRMS,5/13/20,12/22/21,FALSE
137343,105695,Triakidae,365,SpecWoRMS,5/2/13,12/22/21,FALSE
156675,105700,Alopiidae,365,SpecWoRMS,6/23/16,12/22/21,FALSE
137344,105711,Rajidae,365,SpecWoRMS,5/2/13,12/22/21,FALSE
202595,105716,Squalidae,365,SpecWoRMS,4/15/20,12/22/21,FALSE
227814,105719,Carcharhinus,365,SpecWoRMS,5/15/20,12/22/21,FALSE
139297,105727,Apristurus,365,SpecWoRMS,12/9/13,12/22/21,FALSE
139303,105729,Scyliorhinus,365,SpecWoRMS,12/9/13,12/22/21,FALSE
202680,105730,Sphyrna,365,SpecWoRMS,5/13/20,12/22/21,FALSE
148234,105732,Mustelus,365,SpecWoRMS,2/10/15,12/22/21,FALSE
254229,105734,Hydrolagus,365,SpecWoRMS,2/21/23,2/21/23,FALSE
139296,105740,Alopias,365,SpecWoRMS,12/9/13,12/22/21,FALSE
202670,105743,Isurus,365,SpecWoRMS,5/13/20,12/22/21,FALSE
202674,105751,Dasyatis,365,SpecWoRMS,5/13/20,12/22/21,FALSE
202673,105766,Raja,365,SpecWoRMS,5/13/20,12/22/21,FALSE
202679,105769,Rhinobatos,365,SpecWoRMS,5/13/20,12/22/21,FALSE
252661,105778,Scymnodon,365,SpecWoRMS,9/1/22,9/1/22,FALSE
229318,105782,Squalus,365,SpecWoRMS,9/15/20,12/22/21,FALSE
137345,105801,Prionace glauca,365,SpecWoRMS,5/2/13,12/22/21,FALSE
249476,105807,Apristurus laurussonii,365,SpecWoRMS,9/30/21,12/22/21,FALSE
229542,105811,Galeus atlanticus,365,SpecWoRMS,11/5/20,12/22/21,FALSE
139135,105812,Galeus melastomus,365,SpecWoRMS,12/9/13,12/22/21,FALSE
137346,105814,Scyliorhinus canicula,365,SpecWoRMS,5/2/13,12/22/21,FALSE
139202,105815,Scyliorhinus stellaris,365,SpecWoRMS,12/9/13,12/22/21,FALSE
252250,105816,Sphyrna lewini,365,SpecWoRMS,5/30/22,9/21/22,FALSE
233901,105819,Sphyrna zygaena,365,SpecWoRMS,5/25/21,12/22/21,FALSE
137347,105820,Galeorhinus galeus,365,SpecWoRMS,5/2/13,12/22/21,FALSE
138914,105821,Mustelus asterias,365,SpecWoRMS,11/27/13,12/22/21,FALSE
